id,goods2003,goods2004,goods2005,goods2006,goods2007,goods2008,goods2009,goods2010,goods2011,goods2012,goods2013,goods2014
AT,128738,159653,181533,202685,206643,206221,202642,236633,219448,197543,196459,: 
BE,606504,663058,694523,1037357,1203245,1071346,836409,953458,984309,963564,957012,1034198
BG,: ,: ,: ,: ,18726,19533,17450,21110,21879,18529,19575,23072
CH,321690,319083,334024,333317,354623,347979,315695,375176,390335,398713,400028,407704
CY,31816,37190,39220,44848,42024,42795,38636,37264,29480,27581,28328,28095
CZ,53222,57512,56259,59523,59911,55906,53924,65620,69206,58707,58147,: 
DE,2444091,2786025,3005967,3269210,3418376,3568563,3341222,4099072,4309649,4218208,4231473,: 
DK,: ,7928,7465,7363,7431,254100,158767,150270,155662,166283,148980,208590
EA,: ,8053727,8523189,9322426,9966324,10035941,8807560,10308746,10707814,10474519,8141462,: 
EE,: ,4998,9739,10053,22634,41744,20526,11886,18341,23760,20862,: 
EL,137045,111600,105502,107085,102982,108628,95222,86596,78870,70045,66100,60324
ES,439991,520503,526125,504763,510579,539803,502585,592336,611974,593523,580847,593747
EU27,: ,: ,: ,: ,12471146,14051655,12280692,14234265,14666932,14382959,14435435,: 
EU28,: ,: ,: ,: ,: ,12909045,11321310,13130655,13533108,13324105,13384191,: 
FI,89693,123493,119569,128838,146134,147822,126900,165254,179216,195631,192512,190586
FR,1416087,1485506,1476721,1591982,1706769,1668136,1445599,1582342,1813646,1810203,1787675,1788106
HR,: ,: ,: ,: ,: ,8578,8724,7441,7228,6961,6855,6907
HU,50525,60414,55473,64882,67591,62544,54138,65305,68860,61902,64166,: 
IE,: ,62163,89356,132062,132754,126855,112049,122231,113409,126834,127423,: 
IS,42392,56281,59650,61784,46904,54739,38776,35234,37558,40030,41491,41908
IT,683861,783934,754302,810446,906680,814995,705883,838724,846551,790493,814539,: 
LT,5217,5183,9580,12675,12804,9049,6465,9762,10011,14342,15857,13210
LU,: ,616583,624803,633747,702760,788218,627261,705829,666011,615286,673380,707150
LV,: ,8326,15428,11715,7197,6884,8646,11268,11571,31460,52473,31439
MT,16526,15948,16891,18061,17990,18222,17496,16882,16204,16493,16028,15602
NL,1388544,1511957,1550736,1621469,1709271,1648522,1371235,1600381,1614895,1563500,1620038,: 
NO,567,27,9633,6740,3324,3516,51002,49092,65455,78225,106322,115765
PL,: ,31423,31130,39610,44730,58148,53510,61238,68370,74701,77513,: 
PT,123546,123309,129516,136328,130827,136361,125498,137126,121464,117645,126612,134980
RO,15835,19339,17980,20738,19229,24431,23482,24512,26156,28523,30605,: 
SE,: ,150957,: ,: ,: ,205760,161179,186263,164618,141365,130405,: 
SI,: ,4983,4549,6593,12515,8180,5584,6071,6877,7572,7969,8563
SK,12847,8197,4058,5376,2282,7432,12231,17835,20542,20893,20588,18498
UK,2285375,2471160,2450838,2390436,2443379,2411459,2156153,2428996,2419713,2428374,2369868,2406399
